nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-22 19:59:53 /login ....................................... ~ 0.03ms
  2026-01-22 19:59:53 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:59:53 /favicon.ico ................................. ~ 0.06ms
  2026-01-22 19:59:53 /login ....................................... ~ 0.03ms
  2026-01-22 19:59:53 /images/login.png ............................ ~ 0.27ms
  2026-01-22 19:59:54 /favicon.ico ................................. ~ 0.11ms
  2026-01-22 19:59:54 /login ....................................... ~ 0.02ms
  2026-01-22 19:59:54 /images/login.png ............................ ~ 0.02ms
  2026-01-22 19:59:54 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:09:16 / ............................................ ~ 0.23ms
  2026-01-23 14:09:16 /login ....................................... ~ 3.05ms
  2026-01-23 14:09:16 /images/login.png ............................ ~ 0.04ms
  2026-01-23 14:09:16 /favicon.ico ................................. ~ 0.13ms
  2026-01-23 14:09:29 /register .................................... ~ 0.10ms
  2026-01-23 14:09:30 /images/login.png ............................ ~ 0.03ms
  2026-01-23 14:09:30 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:09:36 /login ....................................... ~ 0.14ms
  2026-01-23 14:09:36 /images/login.png ............................ ~ 0.03ms
  2026-01-23 14:09:36 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:09:51 /login ....................................... ~ 0.10ms
  2026-01-23 14:09:51 /images/login.png ............................ ~ 6.53ms
  2026-01-23 14:09:51 /favicon.ico ................................. ~ 0.18ms
  2026-01-23 14:09:53 /login ....................................... ~ 0.16ms
  2026-01-23 14:09:53 /images/login.png ............................ ~ 0.74ms
  2026-01-23 14:09:53 /favicon.ico ................................. ~ 0.15ms
  2026-01-23 14:09:54 /login ....................................... ~ 0.42ms
  2026-01-23 14:09:54 /images/login.png ............................ ~ 0.70ms
  2026-01-23 14:09:54 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:10:20 /login ....................................... ~ 0.15ms
  2026-01-23 14:10:20 /login ....................................... ~ 0.73ms
  2026-01-23 14:10:20 /images/login.png ............................ ~ 2.38ms
  2026-01-23 14:10:20 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:10:32 /login ....................................... ~ 0.17ms
  2026-01-23 14:10:32 /images/login.png ............................ ~ 0.57ms
  2026-01-23 14:10:32 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:10:39 /login ..................................... ~ 500.32ms
  2026-01-23 14:10:39 /images/login.png .......................... ~ 500.58ms
  2026-01-23 14:10:39 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:27:54 /login ....................................... ~ 0.27ms
  2026-01-23 14:27:54 /images/login.png ............................ ~ 0.62ms
  2026-01-23 14:27:54 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:28:02 /login ....................................... ~ 0.18ms
  2026-01-23 14:28:02 / ............................................ ~ 2.71ms
  2026-01-23 14:28:02 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-23 14:28:02 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:29:02 / ............................................ ~ 0.11ms
  2026-01-23 14:29:02 /images/atendenteico.png ..................... ~ 0.45ms
  2026-01-23 14:29:02 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:30:40 / ............................................ ~ 0.21ms
  2026-01-23 14:30:40 /images/atendenteico.png ..................... ~ 0.80ms
  2026-01-23 14:30:40 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:37:35 / ............................................ ~ 0.14ms
  2026-01-23 14:37:35 /login ....................................... ~ 0.03ms
  2026-01-23 14:37:36 /images/login.png ............................ ~ 0.03ms
  2026-01-23 14:37:36 /favicon.ico ................................. ~ 0.07ms
  2026-01-23 14:37:43 /login ....................................... ~ 0.14ms
  2026-01-23 14:37:43 / ............................................ ~ 0.06ms
  2026-01-23 14:37:43 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-23 14:37:43 /favicon.ico ................................. ~ 0.18ms
  2026-01-23 14:37:47 /selecionar-guiche ........................... ~ 0.10ms
  2026-01-23 14:37:47 /home ........................................ ~ 0.05ms
  2026-01-23 14:37:47 /images/triagemico.png ....................... ~ 0.03ms
  2026-01-23 14:37:47 /images/graficoico.png ....................... ~ 0.02ms
  2026-01-23 14:37:47 /images/painel.png ........................... ~ 0.18ms
  2026-01-23 14:37:47 /images/atendenteico.png ..................... ~ 0.35ms
  2026-01-23 14:37:47 /favicon.ico ................................. ~ 0.04ms
  2026-01-23 14:38:08 /queue/triagem ............................... ~ 0.09ms
  2026-01-23 14:38:08 /queue/tickets/triagem ....................... ~ 0.02ms
  2026-01-23 14:38:08 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:38:11 /favicon.ico ................................. ~ 0.13ms
  2026-01-23 14:38:11 /queue/atendimento ............................... ~ 1s
  2026-01-23 14:38:13 /queue/tickets/atendimento ................... ~ 0.03ms
  2026-01-23 14:38:13 /favicon.ico ................................. ~ 0.05ms
  2026-01-23 14:38:14 /favicon.ico ................................. ~ 1.26ms
  2026-01-23 14:38:14 /queue/atendimento .............................. ~ 46s
  2026-01-23 14:39:01 /queue/tickets/atendimento ................... ~ 2.46ms
  2026-01-23 14:39:01 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:39:06 /queue/tickets/atendimento ................. ~ 500.78ms
  2026-01-23 14:39:06 /queue/triagem ............................... ~ 0.07ms
  2026-01-23 14:39:06 /queue/tickets/triagem ....................... ~ 0.03ms
  2026-01-23 14:39:06 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:39:11 /queue/tickets/triagem ....................... ~ 0.10ms
  2026-01-23 14:39:12 /queue/atendimento ........................... ~ 0.09ms
  2026-01-23 14:39:12 /queue/tickets/atendimento ................. ~ 500.34ms
  2026-01-23 14:39:12 /favicon.ico ................................. ~ 0.10ms
  2026-01-23 14:39:13 /queue/triagem ............................... ~ 0.20ms
  2026-01-23 14:39:13 /queue/tickets/triagem ....................... ~ 0.65ms
  2026-01-23 14:39:14 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:39:16 /favicon.ico ................................. ~ 0.18ms
  2026-01-23 14:39:16 /favicon.ico ..................................... ~ 1s
  2026-01-23 14:39:18 /favicon.ico ..................................... ~ 1s
  2026-01-23 14:39:19 /favicon.ico ............................... ~ 501.03ms
  2026-01-23 14:39:20 /users/assign-category .......................... ~ 35s
  2026-01-23 14:39:55 /favicon.ico ................................. ~ 0.03ms
